SleepTime,MoodScore,ActivityTime,Caffeine,PhoneTime
7.382830247852659,51.2933450357842,6.410847074586821,2,4.750451195806457
9.082673191129652,65.53224556554382,4.140936430525088,2,4.210300740547429
10.0,77.43310101413418,4.748073694372767,4,4.863852272809091
9.390587224974935,71.48566815310944,3.1105515266215527,1,4.4529398337241375
8.880876000516858,71.84889727885714,6.586362575039933,1,3.4148333090668705
9.744771059256072,77.439672721341,5.218136221230895,3,4.625568610954652
8.053021727325135,70.44119472007918,3.8626087420511763,0,3.647827296762875
8.598922050529918,70.03336516700273,3.343920188361804,3,3.9355161011436457
8.935266918323675,71.04537836776245,3.554281117874985,0,4.647876948675679
9.774186253961119,76.0940025111646,5.007973121793599,2,4.951252582944903
8.627715825479434,63.40115880567595,2.3440971558196515,1,4.690851051767567
8.948597142606614,79.20456147450349,7.035509102450524,3,3.8099753451929246
9.40103012655469,78.39605141246736,4.919083768954202,2,3.7381718781852706
9.433601110121165,72.05999172925057,3.9502722132775236,2,3.6992468625188977
8.75787885582892,70.4522908411275,3.2248009206722426,1,2.9099731233766626
9.724595973759005,72.8831121567235,4.964412145631329,4,3.6041484417365965
8.818456192282632,61.59453621713534,4.094657301596885,3,3.3976392940525484
9.645118034287552,75.88904315506304,4.670034046065299,4,3.6105628949164763
8.944887933853002,60.014351945259484,4.006016156830354,2,3.9548797506097766
8.804538914537146,63.613500529847954,3.120508080313119,2,2.704417984065206
9.36599404806005,69.59552330317196,4.214271102402718,0,5.271793532905265
9.05868849984946,63.200677914817646,4.2268405346601,1,3.034543180208619
7.995207793540874,65.34179405859555,3.7393743869234246,1,4.285724149501641
9.947997805126242,76.30970821773441,4.694814495389401,1,4.30479536131319
10.0,81.87765631099576,5.037016578741291,3,4.231258127447144
8.512768292424216,61.09783754714436,2.7717434291217335,0,5.524291438388925
8.364268795560053,62.98950908054434,5.687223160421546,0,2.6865285360288924
10.0,97.68487639522232,6.1037993487563815,2,4.303276375349897
8.60038583038664,60.08544368583276,1.3102587953299802,2,3.033235604368076
9.922229280504839,75.75053481621443,4.44297396207408,4,3.4533116966679547
8.257498396332071,63.05721336210301,1.987683006721399,2,3.0306056725754917
8.62216564851302,66.32360701023757,6.255176673737892,0,4.184039756592086
8.95810643869643,80.2867853713367,8.05027181565037,3,3.35899774046096
8.949514812477357,72.93186349825567,5.273217978930866,0,5.005735866345056
8.140567867470708,59.40861129219157,4.0526969829566015,1,4.421535760280601
9.741361941022081,76.01688987175233,5.0220330148789865,4,5.566254109881247
10.0,78.21930438004037,4.13755988676702,4,4.183347736483056
